group_id,member_type,member_id
grp-app-admins,group,grp-finance-analysts
grp-app-admins,user,U003
grp-finance-analysts,group,grp-finance-all
grp-finance-analysts,user,U014
grp-finance-analysts,user,U017
grp-finance-all,user,U007
grp-finance-all,user,U004
grp-finance-all,user,U008
grp-finance-all,user,U022
grp-engineering,user,U005
grp-engineering,user,U009
grp-engineering,user,U010
grp-engineering,user,U015
grp-engineering,user,U018
grp-engineering,user,U023
grp-engineering,user,U024
grp-sales,user,U006
grp-sales,user,U011
grp-sales,user,U012
grp-sales,user,U016
grp-sales,user,U021
grp-it-ops,user,U003
grp-it-ops,user,U013
grp-it-ops,user,U020
grp-it-ops,user,U025
grp-shadow-it,user,U013
grp-shadow-it,user,U020
grp-everyone,user,U001
grp-everyone,user,U002
grp-everyone,user,U003
grp-everyone,user,U004
grp-everyone,user,U005
grp-everyone,user,U006
grp-everyone,user,U007
grp-everyone,user,U009
grp-everyone,user,U010
grp-everyone,user,U012
grp-everyone,user,U014
grp-everyone,user,U018
grp-everyone,user,U019
